x	alfa_x
-3.2	6.62848369e-04
-3.1353535354	1.36328718e-03
-3.0707070707	2.28278473e-03
-3.0060606061	3.48241471e-03
-2.9414141414	5.07502458e-03
-2.8767676768	7.19627559e-03
-2.8121212121	1.00089310e-02
-2.7474747475	1.37066728e-02
-2.6828282828	1.85171648e-02
-2.6181818182	2.47040143e-02
-2.5535353535	3.25672244e-02
-2.4888888889	4.24416746e-02
-2.4242424242	5.46931274e-02
-2.3595959596	6.97112343e-02
-2.2949494949	8.78990197e-02
-2.2303030303	1.09658376e-01
-2.1656565657	1.35371227e-01
-2.101010101	1.65376280e-01
-2.0363636364	1.99941690e-01
-1.9717171717	2.39234692e-01
-1.9070707071	2.83290192e-01
-1.8424242424	3.31981633e-01
-1.7777777778	3.84998872e-01
-1.7131313131	4.41839023e-01
-1.6484848485	5.01816540e-01
-1.5838383838	5.64097325e-01
-1.5191919192	6.27757687e-01
-1.4545454545	6.91862502e-01
-1.3898989899	7.55549793e-01
-1.3252525253	8.18104550e-01
-1.2606060606	8.79006606e-01
-1.195959596	9.37946155e-01
-1.1313131313	9.94811491e-01
-1.0666666667	1.04966016e+00
-1.002020202	1.10268487e+00
-0.9373737374	1.15418134e+00
-0.8727272727	1.20452054e+00
-0.8080808081	1.25412281e+00
-0.7434343434	1.30343292e+00
-0.6787878788	1.35290371e+00
-0.6141414141	1.40299670e+00
-0.5494949495	1.45419550e+00
-0.4848484848	1.50702391e+00
-0.4202020202	1.56207067e+00
-0.3555555556	1.61998708e+00
-0.2909090909	1.68140285e+00
-0.2262626263	1.74683094e+00
-0.1616161616	1.81667631e+00
-0.096969697	1.89131848e+00
-0.0323232323	1.97115096e+00
0.0323232323	2.05693617e+00
0.096969697	2.15026141e+00
0.1616161616	2.25269431e+00
0.2262626263	2.36481855e+00
0.2909090909	2.48653378e+00
0.3555555556	2.61786415e+00
0.4202020202	2.75700930e+00
0.4848484848	2.90379740e+00
0.5494949495	3.06912854e+00
0.6141414141	3.26024538e+00
0.6787878788	3.46335042e+00
0.7434343434	3.64318405e+00
0.8080808081	3.79200865e+00
0.8727272727	3.88182749e+00
0.9373737374	3.92813876e+00
1.002020202	3.95007776e+00
1.0666666667	3.95983297e+00
1.1313131313	3.96361882e+00
1.195959596	3.96400548e+00
1.2606060606	3.96123593e+00
1.3252525253	3.95329516e+00
1.3898989899	3.93454525e+00
1.4545454545	3.89222838e+00
1.5191919192	3.79977603e+00
1.5838383838	3.60761860e+00
1.6484848485	3.24332135e+00
1.7131313131	2.66984472e+00
1.7777777778	2.08140364e+00
1.8424242424	1.58375412e+00
1.9070707071	1.19739369e+00
1.9717171717	9.07499932e-01
2.0363636364	6.91891243e-01
2.101010101	5.31013291e-01
2.1656565657	4.09984263e-01
2.2303030303	3.18064018e-01
2.2949494949	2.47619635e-01
2.3595959596	1.93214189e-01
2.4242424242	1.50933464e-01
2.4888888889	1.17918954e-01
2.5535353535	9.20508403e-02
2.6181818182	7.17332655e-02
2.6828282828	5.57477032e-02
2.7474747475	4.31514434e-02
2.8121212121	3.32060647e-02
2.8767676768	2.53260051e-02
2.9414141414	1.90407402e-02
3.0060606061	1.39662648e-02
3.0707070707	9.78298760e-03
3.1353535354	6.21806326e-03
3.2	3.03077918e-03

