CONSÓRCIO/EMPRESA	SERVIÇO	LINHA	INTEGRAÇÃO	CIRCULARDENOMINAÇÃO		EXTENSÃO	TARIFA	PEDÁGIO	INTEGRAÇÃO	+ PEDÁGIO
ABC	COMUM	195	-	-	SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS)- DIADEMA (TERMINAL METRO	13.096	3,90	-	-	3,90
ABC	COMUM	195	201	-	Integração com LINHA 1 AZUL DO METRO - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERR	13.096	3,90	-	2,12	6,02
ABC	COMUM	195	202	-	Integração com LINHA 2 VERDE DO METRO - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FER	13.096	3,90	-	2,12	6,02
ABC	COMUM	195	203	-	Integração com LINHA 3 VERMELHA DO METRO - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO	13.096	3,90	-	2,12	6,02
ABC	COMUM	195	204	-	Integração com LINHA 4 AMARELA DO METRO - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO	13.096	3,90	-	2,12	6,02
ABC	COMUM	195	205	-	Integração com LINHA 5 LILAS DO METRO - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERR	13.096	3,90	-	2,12	6,02
ABC	COMUM	195	207	-	Integração com LINHA 7 RUBI DA CPTM - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRA	13.096	3,90	-	2,12	6,02
ABC	COMUM	195	208	-	Integração com LINHA 8 DIAMANTE DA CPTM - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO F	13.096	3,90	-	2,12	6,02
ABC	COMUM	195	209	-	Integração com LINHA 9 ESMERALDA DA CPTM - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO	13.096	3,90	-	2,12	6,02
ABC	COMUM	195	210	-	Integração com LINHA 10 TURQUESA DA CPTM - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO	13.096	3,90	-	2,12	6,02
ABC	COMUM	195	211	-	Integração com LINHA 11 CORAL DA CPTM - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FER	13.096	3,90	-	2,12	6,02
ABC	COMUM	195	212	-	Integração com LINHA 12 SAFIRA DA CPTM - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FER	13.096	3,90	-	2,12	6,02
ABC	COMUM	195	215	-	Integração com LINHA 15 PRATA DO METRO - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FE	13.096	3,90	-	2,12	6,02
ABC	COMUM	196	-	-	SAO BERNARDO DO CAMPO (PARQUE SELECTA)- SANTO ANDRE (TERMINAL METROPOLITANO SANTO AN	18.551	3,90	-	-	3,90
ABC	COMUM	196	201	-	Integração com LINHA 1 AZUL DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 1 AZUL	18.551	3,90	-	2,12	6,02
ABC	COMUM	196	202	-	Integração com LINHA 2 VERDE DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 2 VE	18.551	3,90	-	2,12	6,02
ABC	COMUM	196	203	-	Integração com LINHA 3 VERMELHA DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 3	18.551	3,90	-	2,12	6,02
ABC	COMUM	196	204	-	Integração com LINHA 4 AMARELA DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 4	18.551	3,90	-	2,12	6,02
ABC	COMUM	196	205	-	Integração com LINHA 5 LILAS DO METRO - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 5 LILA	18.551	3,90	-	2,12	6,02
ABC	COMUM	196	207	-	Integração com LINHA 7 RUBI DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 7 RUBI D	18.551	3,90	-	2,12	6,02
ABC	COMUM	196	208	-	Integração com LINHA 8 DIAMANTE DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 8 D	18.551	3,90	-	2,12	6,02
ABC	COMUM	196	209	-	Integração com LINHA 9 ESMERALDA DA CPTM - SAO BERNARDO DO CAMPO (PARQUE SELECTA) - LINHA 9	18.551	3,90	-	2,12	6,02
