Pessoa/Organização;Ação;Item;Empenhado (R$);Liquidado (R$)
012 Construções e Reformas Ltda - Me;5272 - Apoio Técnico Administrativo;33903999 - Outros Serviços de Terceiros;12950,00;12950,00
A.e.b. Raposo & Cia. Ltda.;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;14975,80;14975,80
Adriano Castro de Paula Materiais de Construção - Me;5272 - Apoio Técnico Administrativo;33903050 - Peças de Reposição e Acessórios;7830,00;7657,74
Alex Barreto Almeida dos Santos 28990894808;5272 - Apoio Técnico Administrativo;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;480,00;480,00
Alpha Termic Com. e Instal. Ind. Ltda.;5272 - Apoio Técnico Administrativo;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;796,25;0,00
Alta Serrana Coml Eireli Me;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;3628,80;3628,80
Ana Lucia Eiko Nozaki Sola Losa;5272 - Apoio Técnico Administrativo;33903992 - Despesas Miúdas e de Pronto Pagamento;2000,00;0,00
Ana Maria Mendes Brito;5272 - Apoio Técnico Administrativo;33903992 - Despesas Miúdas e de Pronto Pagamento;9000,00;9000,00
Angelo Gabriel de Oliveira;5272 - Apoio Técnico Administrativo;33903992 - Despesas Miúdas e de Pronto Pagamento;10000,00;9862,24
Atac Trein;5272 - Apoio Técnico Administrativo;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;1950,00;1950,00
Barros & Barros Comercial Presentes Ltda.;5272 - Apoio Técnico Administrativo;33903013 - Material e Utensílios para Refeitório, Copa e Cozi;1260,00;1260,00
Básica Fornecimento de Refeições Ltda - Me;5272 - Apoio Técnico Administrativo;33903973 - Fornecimento de Alimentação Preparada - Outros;144600,00;14725,10
Belaris Alimentos Ltda - Epp;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;1670,70;1654,41
Biopar Com.de Ferramentas e Ferragens Ltda-me;5272 - Apoio Técnico Administrativo;33903050 - Peças de Reposição e Acessórios;1340,00;1340,00
Biopar Com.de Ferramentas e Ferragens Ltda-me;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;1404,00;1404,00
Brasfrios Distribuidora de Frios e Alimentos Ltda. - Me;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;1693,50;1693,50
Brpaper Comércio Produtos Descartáveis Eirelli-epp;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;42474,80;42474,80
Camilo & Camilo Ltda - Me;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;2800,00;2800,00
Campos Oliveira & Ghiraldi Ltda - Epp;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;5026,68;688,11
Casa do Serralheiro de São Carlos Ltda;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;1681,08;1681,08
Celso Fernando Alves de Freitas & Cia Ltda.;5272 - Apoio Técnico Administrativo;33903983 - Serviços Gráficos;3760,00;3760,00
Central Manut.equip.cozinha Industriais Ltda-me;5272 - Apoio Técnico Administrativo;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;1350,00;1350,00
Central Tintas Vieira Bauru Ltda;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;360,00;360,00
Centroeste Carnes e Derivados Ltda;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;5884,80;0,00
